品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",34,他注,13,0,13,9529,0,9529,13,,,,,,,,,,b,1,13,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",40,処置,173,0,173,126809,0,126809,173,,,,,,,,,,,1,173,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",50,手術,2,0,2,216,0,216,2,,,,,,,,,,,1,2,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,27,0,27,1674,0,1674,27,,,,,,,,,,,1,27,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,72,0,72,4464,0,4464,72,,,,,,,,,,,1,72,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,2,0,2,65216,0,65216,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",40,処置,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",50,手術,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20149,"生理食塩液　１００ｍＬ",145,"瓶",40,処置,1,0,1,145,0,145,1,,,,,,,,,,,1,1,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1244,"ｷｯﾄ",33,点滴,3,0,3,3732,0,3732,3,,,,,,,,,,,1,3,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",158,"筒",32,静脈,6,0,6,948,0,948,6,,,,,,,,,,,1,6,0,
1,20454,"レバミピド１００ｍｇ錠",10.1,"錠",22,屯服,20,0,20,202,0,202,20,,,,,,,,,,c,1,20,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,40,0,40,268,0,268,40,,,,,,,,,,a,1,40,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,42,0,42,424.2,0,424.2,42,,,,,,,,,,b,1,42,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,470,0,470,4747,0,4747,470,,,,,,,,,,b,1,470,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,42,0,42,424.2,0,424.2,42,,,,,,,,,,c,1,42,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,470,0,470,4747,0,4747,470,,,,,,,,,,c,1,470,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,123,0,123,1353,0,1353,123,,,,,,,,,,,1,123,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,12,0,12,132,0,132,12,,,,,,,,,,,1,12,0,
1,28007,"ヒルドイドソフト軟膏０．３％",18.5,"ｇ",40,処置,1944,0,1944,35964,0,35964,1944,,,,,,,,,,,1,1944,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.8,"ｇ",23,外用,800,0,800,3840,0,3840,800,,,,,,,,,,c,1,800,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",12.9,"枚",23,外用,84,0,84,1083.6,0,1083.6,84,,,,,,,,,,b,1,84,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",18.4,"枚",23,外用,854,0,854,15713.6,0,15713.6,854,,,,,,,,,,b,1,854,0,
1,28052,"プロスタンディン軟膏０．００３％",37.5,"ｇ",40,処置,16,0,16,600,0,600,16,,,,,,,,,,,1,16,0,
1,28054,"イソジンシュガーパスタ軟膏",8.1,"ｇ",40,処置,8,0,8,64.8,0,64.8,8,,,,,,,,,,,1,8,0,
1,30015,"ボンビバ静注１ｍｇシリンジ　１ｍＬ",3476,"筒",32,静脈,7,0,7,24332,0,24332,7,,,,,,,,,,b,1,7,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,27,0,27,1593,0,1593,27,,,,,,,,,,,1,27,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",50,手術,12,0,12,708,0,708,12,,,,,,,,,,,1,12,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,6,0,6,150366,0,150366,6,,,,,,,,,,,1,6,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",24939,"筒",31,皮下,14,0,14,349146,0,349146,14,,,,,,,,,,,1,14,0,
1,30045,"イソジン液１０％",2.42,"mL",40,処置,2084,0,2084,5043.28,0,5043.28,2084,,,,,,,,,,,10,208.4,0,
1,30045,"イソジン液１０％",2.42,"mL",50,手術,10,0,10,24.2,0,24.2,10,,,,,,,,,,,10,1,0,
1,30046,"キシロカイン注ポリアンプ１％　１０",79,"Ａ",50,手術,3,0,3,237,0,237,3,,,,,,,,,,,1,3,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",785,"瓶",34,他注,10,0,10,7850,0,7850,10,,,,,,,,,,,1,10,0,
